Genus	Species	Identifier	Year	crown.mm	diam.1	diam.2	leaves	stem.biomass	leafy.biomass	leaf.area.1	leaf.area.2		
Shorea	gibbosa	196	2004	784	4.8	4.9	24	5.26	5.69	58.01	61.66		
Shorea	gibbosa	197	2004	533	4.6	4.7	10	3.3	2.92	35.84	71.74		
Shorea	gibbosa	198	2004	483	3.7	4.1	7	1.36	1.62	66.12	30.04		
Shorea	gibbosa	199	2004	341	4.5	4.4	5	1.15	1.29	67.97	19.83		
Shorea	gibbosa	200	2004	260	4.5	4.4	3	0.99	0.66	47.91	10.52		
Shorea	johorensis	201	2004	683	4.6	4.8	6	3.1	0.45	10.31	37.85		
Shorea	johorensis	202	2004	705	7.9	6.6	5	4.62	2.41	25.56	145.81		
Shorea	johorensis	203	2004	669	5.5	5.7	5	3.48	1.9	84.87	92.24		
Shorea	johorensis	204	2004	832	4.7	5.1	7	4.24	1.85	50.63	49.41		
Shorea	johorensis	205	2004	684	6.3	5.9	10	4.12	2.56	33.4	88.8		
Shorea	johorensis	206	2004	682	4.7	5.1	11	3.85	3.06	68.57	68.45		
Shorea	johorensis	207	2004	432	4.7	4.8	5	1.88	0.36	13.63	11.28		
Shorea	johorensis	208	2004	496	4.5	4.4	8	2.04	1.11	15.38	39.29		
Shorea	johorensis	209	2004	384	4.3	4	4	1.6	0.51	34.69	6.17		
Shorea	johorensis	210	2004	283	4.1	4.3	3	1.29	0.45	21.89	15.22		
Shorea	superba	211	2004	600	4.1	4.5	20	2.47	1.99	19.93	19.84		
Shorea	superba	212	2004	706	5.2	5.9	18	3.24	1.36	19.2	43.29		
Shorea	superba	213	2004	582	4.5	4.7	13	2.02	1.44	43.36	24.9		
Shorea	superba	214	2004	730	3.7	4.1	13	1.96	1.43	33.9	31.06		
Shorea	superba	215	2004	580	3.3	3.4	9	1.79	1.01	22.87	26.48		
Shorea	superba	216	2004	693	4.8	4.7	13	2.76	1.24	11.57	32.41		
