Site	SiteName	Latitude	Longitude	Carbon1m	Nitrogen1m	Clay	EM	NetPrimProduction	Temperature	Precipitation	Biome
199	BT73	-3.808231913	-70.26334792	9.07	1.41	53.3	0	947.3	25.925	2786	tropicalforest
200	BT74	-3.809108745	-70.26369136	5.59	1.08	42.7	0	957	25.925	2786	tropicalforest
201	BT75	38.9008	-78.12378	9.39	0.74	34.6	0	657.1	10.69167	1042	temperateforest
202	BT76	38.9008	-78.12378	7.58	0.59	46.0	0	657.1	10.69167	1042	temperateforest
203	BT77	38.9008	-78.12378	6.14	0.51	39.7	0	657.1	10.69167	1042	temperateforest
204	BT78	38.9008	-78.12378	8.44	0.68	17.0	0	657.1	10.69167	1042	temperateforest
205	BT79	38.9008	-78.12378	8.56	0.71	29.6	0	657.1	10.69167	1042	temperateforest
206	BT8	9.0992	-79.8540	15.58	1.45	86.1	0	888	26.54167	2430	tropicalforest
207	BT80	38.9008	-78.12378	10.81	0.91	34.6	0	657.1	10.69167	1042	temperateforest
208	BT81	1.353889	103.778333	12.13	0.87	39.0	1	942.5	26.725	2405	tropicalforest
209	BT82	2.98353	102.31753	5.81	0.46	49.2	1	879.5	26.35	1978	tropicalforest
210	BT83	2.98439	102.31294	8.39	0.61	39.2	1	866.3	26.35	1978	tropicalforest
211	BT84	2.981	102.3075	9.84	0.66	28.4	1	865.3	26.35	1978	tropicalforest
212	BT85	-0.68722	-76.40333	9.40	1.50	55.6	0	1478.9	25.075	3116	tropicalforest
213	BT86	-0.68722	-76.40333	9.44	1.46	52.5	0	1478.9	25.075	3116	tropicalforest
214	BT87	-0.68722	-76.40333	7.62	1.43	59.3	0	1478.9	25.075	3116	tropicalforest
215	BT88	-0.68722	-76.40333	9.82	1.36	50.1	0	1478.9	25.075	3116	tropicalforest
216	BT89	-0.68722	-76.40333	7.06	1.18	52.4	0	1478.9	25.075	3116	tropicalforest
217	BT9	9.1035	-79.8536	10.88	1.09	69.3	0	934.7	26.54167	2430	tropicalforest
218	BT90	-0.68722	-76.40333	6.24	0.94	33.1	0	1478.9	25.075	3116	tropicalforest
219	BT91	9.156088759	-79.85224361	16.86	1.62	76.4	0	920.8	26.5	2549	tropicalforest
220	BT92	9.156088759	-79.85224361	17.12	1.45	67.7	0	920.8	26.5	2549	tropicalforest
221	BT93	9.150991223	-79.85315176	13.93	1.19	49.8	0	920.8	26.5	2549	tropicalforest
222	BT94	9.150991223	-79.85315176	13.25	1.27	68.1	0	920.8	26.5	2549	tropicalforest
223	BT95	18.32655243	-65.81544775	12.36	1.20	64.5	0	1443.7	21.29167	2958	tropicalforest
224	BT96	18.32270104	-65.81393889	14.84	1.30	71.7	0	1419.1	21.29167	2958	tropicalforest
225	BT97	18.32501959	-65.81713419	14.19	1.22	73.5	0	1469.7	21.29167	2958	tropicalforest
226	BT98	38.89108426	-76.55882897	13.92	0.72	26.7	0	672.2	13.14167	1071	temperateforest
227	BT99	38.88863014	-76.56311041	7.69	0.54	20.6	0	672.2	13.14167	1071	temperateforest
